Date,Product ID,Phone,Launch Date,Brunei,Cambodia,East Timor,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam,Date 2,TempNo
1/1/2019,P001,iPhone 11,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-243
1/1/2019,P002,Samsung Galaxy S20 Ultra,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-396
1/1/2019,P003,Xiaomi Redmi Note 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-790
1/1/2019,P004,OPPO A54,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-821
1/1/2019,P005,Vivo Y20,2020-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2020,-609
1/1/2019,P006,Huawei Y9a,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-396
1/1/2019,P007,Xiaomi Redmi 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-790
1/1/2019,P008,Samsung Galaxy A52,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-790
1/1/2019,P009,Vivo Y33s,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-851
1/1/2019,P010,Vivo Y11s,2020-11,0,0,0,0,0,0,0,0,0,0,0,1/11/2020,-670
1/1/2019,P011,Huawei Nova 7i,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-396
1/1/2019,P012,iPhone 13,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-974
1/1/2019,P013,Samsung Galaxy S21,2021-01,0,0,0,0,0,0,0,0,0,0,0,1/1/2021,-731
1/1/2019,P014,Google Pixel 6,2021-10,0,0,0,0,0,0,0,0,0,0,0,1/10/2021,-1004
1/1/2019,P015,OnePlus Nord CE,2021-06,0,0,0,0,0,0,0,0,0,0,0,1/6/2021,-882
1/1/2019,P016,Apple iPhone 13 Pro,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-974
1/1/2019,P017,Samsung Galaxy A32 5G,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-762
1/1/2019,P018,Realme C25,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-790
1/1/2019,P019,Xiaomi Poco X3 Pro,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-851
1/1/2019,P020,Samsung Galaxy Z Flip 3,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-974
1/1/2019,P021,Xiaomi Poco X3 NFC,2020-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2020,-578
1/1/2019,P022,OPPO A93,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-762
1/1/2019,P023,Vivo V20,2020-10,0,0,0,0,0,0,0,0,0,0,0,1/10/2020,-639
1/1/2019,P024,Samsung Galaxy A50,2019-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2019,-120
1/1/2019,P025,Xiaomi Redmi Note 7,2019-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2019,-212
1/1/2019,P026,Realme C21,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-821
1/1/2019,P027,Google Pixel 4,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-243
1/1/2019,P028,Samsung Galaxy A10s,2019-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2019,-212
1/1/2019,P029,Realme Narzo 30A,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-762
1/1/2019,P030,Samsung Galaxy A22 5G,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-851
1/1/2019,P031,Xiaomi Redmi 9,2020-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2020,-578
1/1/2019,P032,Realme C3,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-396
1/1/2019,P033,Samsung Galaxy A7,2018-10,608,117,589,2516,2570,625,825,695,2548,1680,2159,1/10/2018,92
1/2/2019,P001,iPhone 11,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-212
1/2/2019,P002,Samsung Galaxy S20 Ultra,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-365
1/2/2019,P003,Xiaomi Redmi Note 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-759
1/2/2019,P004,OPPO A54,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-790
1/2/2019,P005,Vivo Y20,2020-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2020,-578
1/2/2019,P006,Huawei Y9a,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-365
1/2/2019,P007,Xiaomi Redmi 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-759
1/2/2019,P008,Samsung Galaxy A52,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-759
1/2/2019,P009,Vivo Y33s,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-820
1/2/2019,P010,Vivo Y11s,2020-11,0,0,0,0,0,0,0,0,0,0,0,1/11/2020,-639
1/2/2019,P011,Huawei Nova 7i,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-365
1/2/2019,P012,iPhone 13,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-943
1/2/2019,P013,Samsung Galaxy S21,2021-01,0,0,0,0,0,0,0,0,0,0,0,1/1/2021,-700
1/2/2019,P014,Google Pixel 6,2021-10,0,0,0,0,0,0,0,0,0,0,0,1/10/2021,-973
1/2/2019,P015,OnePlus Nord CE,2021-06,0,0,0,0,0,0,0,0,0,0,0,1/6/2021,-851
1/2/2019,P016,Apple iPhone 13 Pro,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-943
1/2/2019,P017,Samsung Galaxy A32 5G,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-731
