Date of Sale,Region of Sale,Salesperson,Product Category,Product,Units Sold,Unit Price
2022-12-02,West,David,Furniture,Table,24,194.57137098824296
2023-07-09,North,Eve,Electronics,Laptop,55,1057.6612201296136
2023-06-08,West,David,Electronics,Phone,16,498.90567464656255
2023-03-06,North,Alice,Furniture,Table,91,217.80401934822314
2023-01-07,East,David,Electronics,Phone,68,530.0847400975681
2022-11-05,East,Alice,Furniture,Table,9,204.90456325346318
2022-11-14,West,Bob,Stationery,Pen,69,5.024319750508932
2023-07-20,East,Alice,Furniture,Table,17,187.75117544173895
2022-08-02,West,Charlie,Electronics,Laptop,32,1039.622576931669
2022-09-03,South,Charlie,Stationery,Pen,41,4.951629313905253
2022-12-10,West,Alice,Electronics,Phone,5,523.3149020002027
2023-02-03,East,Eve,Stationery,Pen,67,5.039221421567742
2022-07-27,North,Bob,Electronics,Laptop,90,1057.6623733677395
2023-05-16,East,Bob,Stationery,Pen,22,5.118426233062046
2022-11-17,West,Bob,Furniture,Chair,33,91.56061292984721
2023-06-26,South,Bob,Furniture,Chair,92,102.1956392497259
2023-03-28,West,Charlie,Electronics,Laptop,15,935.1780956751965
2022-09-07,East,Bob,Furniture,Table,69,198.09708734147384
2023-07-14,West,Eve,Furniture,Chair,95,90.33409017236295
2023-01-09,West,Eve,Electronics,Laptop,66,955.0084021497123
2022-12-28,North,Charlie,Furniture,Table,59,182.05013974350464
2023-02-03,North,Charlie,Electronics,Laptop,97,914.374761792353
2023-01-26,East,Alice,Stationery,Pen,59,5.066565873229688
2023-02-21,North,Alice,Electronics,Phone,45,532.2767659782328
2023-05-29,East,David,Electronics,Phone,18,544.315662261354
2023-01-22,North,Eve,Stationery,Pen,85,4.711129394190495
2022-09-29,North,David,Stationery,Pen,10,4.776628017492482
2023-02-22,East,Eve,Furniture,Table,4,184.83420653156102
2023-02-05,West,David,Stationery,Notebook,87,10.479277627170678
2022-10-23,West,Alice,Electronics,Laptop,8,1058.7957071764583
2023-01-10,West,Alice,Furniture,Chair,7,108.23938695610696
2022-09-01,West,Alice,Furniture,Chair,13,93.9595392983999
2023-03-16,East,Eve,Furniture,Table,14,213.8353665190083
2022-08-04,West,Alice,Stationery,Notebook,88,9.17596711708124
2023-04-02,West,Charlie,Furniture,Chair,90,98.40820056567973
2023-07-13,South,Alice,Furniture,Table,7,187.64219971095858
2023-03-10,South,Charlie,Furniture,Table,62,183.33244758502045
2023-06-21,West,Eve,Stationery,Notebook,9,10.252378100296644
2022-12-18,West,Bob,Electronics,Laptop,6,1020.5123118245865
2022-10-06,South,Alice,Stationery,Notebook,48,10.98187564824686
2023-04-27,West,Eve,Electronics,Phone,91,547.5741269118059
2023-02-03,West,Eve,Stationery,Notebook,9,10.891528759869198
2023-04-06,West,Alice,Electronics,Phone,11,511.292255878843
2023-05-16,West,Alice,Furniture,Chair,45,94.1638145332312
2022-08-16,East,David,Stationery,Pen,13,5.246796662820668
2022-11-22,East,Alice,Furniture,Chair,7,90.98563368863756
2022-10-17,East,Eve,Furniture,Chair,83,108.01608761371165
2023-03-04,South,David,Furniture,Table,98,196.75217757270343
2022-10-27,West,David,Electronics,Laptop,29,1054.2099279887095
2022-12-15,South,David,Electronics,Laptop,16,921.7894132744391
2022-08-25,West,Alice,Electronics,Phone,85,454.0273404617175
2022-08-21,North,Charlie,Electronics,Laptop,7,1060.992449898395
2022-07-27,West,Alice,Electronics,Laptop,34,941.4364847108044
2022-07-25,North,Eve,Stationery,Notebook,7,10.942726575036588
2023-01-22,South,Charlie,Furniture,Chair,34,102.52398477909684
2023-01-05,East,Alice,Furniture,Chair,4,97.81898652993165
2022-10-21,North,Bob,Electronics,Laptop,28,1020.2304910480575
2023-01-07,East,David,Stationery,Pen,86,4.978239400972849
2023-07-11,East,David,Furniture,Chair,46,99.07515961568544
2023-04-27,West,Charlie,Stationery,Pen,11,4.756710895600036
2023-03-27,North,Charlie,Electronics,Phone,40,532.7892227146046
2022-11-07,South,Eve,Stationery,Notebook,64,10.139480868483515
2023-01-02,South,Bob,Electronics,Laptop,97,929.4140343945309
2023-07-06,North,David,Electronics,Laptop,73,977.7095187177358
2023-02-11,South,Alice,Furniture,Chair,64,107.57913401623836
2023-05-06,West,Eve,Furniture,Table,28,195.83803016648372
2022-10-28,West,Alice,Furniture,Table,1,203.36120311405043
2022-09-26,North,Charlie,Electronics,Phone,39,530.8080136975439
2023-01-02,North,Alice,Stationery,Notebook,53,10.498101512680895
2022-09-23,East,Bob,Furniture,Table,83,213.75847212500258
2023-06-07,East,David,Electronics,Laptop,24,1074.8043778095032
